Position	SRR8423807_1	SRR8423851_2	SRR8423868_2	SRR8423870_2	SRR8423819_1	SRR8423825_1	SRR8423798_1	SRR8423868_1	SRR8423831_2	SRR8423809_2	SRR8423911_2	SRR8423808_1	SRR8423809_1	SRR8423814_2	SRR8423847_1	SRR8423851_1	SRR8423828_1	SRR8423870_1	SRR8423850_2	SRR8423841_1	SRR8423852_2	SRR8423849_1	SRR8423829_2	SRR8423844_2	SRR8423855_1	SRR8423812_1	SRR8423818_1	SRR8423827_1	SRR8423847_2	SRR8423852_1	SRR8423813_2	SRR8423833_2	SRR8423818_2	SRR8423825_2	SRR8423849_2	SRR8423856_1	SRR8423820_1	SRR8423848_1	SRR8423811_2	SRR8423842_1	SRR8423807_2	SRR8423808_2	SRR8423864_2	SRR8423823_2	SRR8423839_2	SRR8423833_1	SRR8423840_1	SRR8423816_2	SRR8423844_1	SRR8423829_1	SRR8423817_1	SRR8423810_1	SRR8423835_2	SRR8423917_2	SRR8423846_1	SRR8423846_2	SRR8423845_2	SRR8423823_1	SRR8423913_2	SRR8423816_1	SRR8423848_2	SRR8423811_1	SRR8423819_2	SRR8423864_1	SRR8423913_1	SRR8423912_1	SRR8423828_2	SRR8423800_2	SRR8423804_1	SRR8423845_1	SRR8423839_1	SRR8423810_2	SRR8423859_2	SRR8423799_1	SRR8423836_2	SRR8423912_2	SRR8423831_1	SRR8423916_2	SRR8423812_2	SRR8423813_1	SRR8423799_2	SRR8423869_1	SRR8423855_2	SRR8423911_1	SRR8423817_2	SRR8423835_1	SRR8423916_1	SRR8423830_1	SRR8423917_1	SRR8423843_1	SRR8423854_2	SRR8423814_1	SRR8423830_2	SRR8423843_2	SRR8423854_1	SRR8423850_1	SRR8423800_1	SRR8423820_2	SRR8423801_1	SRR8423869_2	SRR8423804_2	SRR8423859_1	SRR8423798_2	SRR8423856_2	SRR8423840_2	SRR8423827_2	SRR8423841_2	SRR8423836_1	SRR8423801_2	SRR8423842_2
167	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
168	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
169	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
170	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
171	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
172	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
173	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
174	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
175	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
176	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
177	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
178	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
179	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
180	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
181	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
182	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
183	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
184	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
185	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	7.43882957455474E-5	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
186	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	7.43882957455474E-5	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
187	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	7.43882957455474E-5	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
188	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	7.43882957455474E-5	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
189	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	7.43882957455474E-5	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
190	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	1.2398049290924566E-4	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
191	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	1.2398049290924566E-4	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
192	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	1.2398049290924566E-4	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
193	0.0	NA	0.0	NA	NA	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	6.958942240779402E-4	NA	1.0512671448530486E-4	0.0	0.0	NA	8.364141253617491E-4	NA	NA	NA	8.131469600500898E-4	NA	NA	6.791724962305927E-4	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	3.8640772197191586E-4	0.0017432232197332868	0.0	8.364141253617491E-4	0.0	0.0	0.0	NA	0.0	NA	0.0	0.0	5.40225165849126E-4	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	NA	NA	1.2398049290924566E-4	NA	NA	NA	NA	0.0	NA	8.207081069546805E-4	0.0	8.716116098666434E-4	0.0	0.0	0.0	NA	NA	NA	NA	8.207081069546805E-4	NA
